Regime_Type,Regime,Crypto,Traditional,Observations,Correlation,Cointegrated,Q05_Correlation,Q95_Correlation,CoVaR_Lower,Lower_Tail_Dependence,Upper_Tail_Dependence
VIX,Low_Vol,BTC-USD,IEF,248,-0.0032587674820862716,False,,,,0.041666666666666664,0.125
VIX,Low_Vol,BTC-USD,^RUT,248,0.2552464256133796,False,0.1695327344544034,-0.4438445930459063,-0.02230266555340471,0.25,0.20833333333333334
VIX,Low_Vol,BTC-USD,^SPX,248,0.13962005457009433,False,,,-0.008482824959781513,0.16666666666666666,0.16666666666666666
VIX,Low_Vol,BTC-USD,DBC,248,-0.035629598345148984,False,,,,0.08333333333333333,0.08333333333333333
VIX,Low_Vol,BTC-USD,VNQ,248,0.1264580235176986,False,,,-0.023900422529762877,0.125,0.08333333333333333
VIX,Low_Vol,ETH-USD,IEF,248,0.034605852519168055,False,,,,0.0,0.125
VIX,Low_Vol,ETH-USD,^RUT,248,0.316757916768465,False,0.4492929610596512,,-0.02230266555340471,0.2916666666666667,0.20833333333333334
VIX,Low_Vol,ETH-USD,^SPX,248,0.1852330997053778,True,,,-0.007627686997949967,0.16666666666666666,0.125
VIX,Low_Vol,ETH-USD,DBC,248,-0.025441618743694053,False,,,,0.041666666666666664,0.125
VIX,Low_Vol,ETH-USD,VNQ,248,0.14057323031415142,False,,,-0.023900422529762877,0.16666666666666666,0.08333333333333333
VIX,Low_Vol,SOL-USD,IEF,248,-0.02465429033485741,False,,,-0.007293323648290495,0.041666666666666664,0.16666666666666666
VIX,Low_Vol,SOL-USD,^RUT,248,0.2436286542288827,False,,,-0.015245201243677453,0.20833333333333334,0.20833333333333334
VIX,Low_Vol,SOL-USD,^SPX,248,0.227897886636669,False,,,,0.16666666666666666,0.2916666666666667
VIX,Low_Vol,SOL-USD,DBC,248,0.07410923159280303,False,,,-0.02397681737320201,0.08333333333333333,0.041666666666666664
VIX,Low_Vol,SOL-USD,VNQ,248,0.13447004711529342,False,,,,0.16666666666666666,0.125
VIX,Medium_Vol,BTC-USD,IEF,850,0.006295871678192712,False,-0.03821187699293779,0.10455248047881215,-0.008609956781025496,0.07058823529411765,0.047058823529411764
VIX,Medium_Vol,BTC-USD,^RUT,850,0.3094700025979521,False,0.09009398690440042,0.2250224200024652,-0.026668449700335675,0.1411764705882353,0.21176470588235294
